z_m,n_m3,p_m3,E_fn_eV,E_fp_eV
3.9e-08,1.2501801594622403e+19,6.1979358749347865e+19,0.5215102967493255,-0.6028975037308163
3.933333333333333e-08,1.2223905919333583e+19,6.060323334404231e+19,0.49426249715015147,-0.6289837113344652
3.9666666666666665e-08,1.1939658985515127e+19,5.919558582765382e+19,0.46698758491363734,-0.6550428231281906
4e-08,1.164906490726119e+19,5.775643133147858e+19,0.43968393439372655,-0.681073213470027
4.033333333333333e-08,1.1352127793114724e+19,5.628578483728045e+19,0.4123497506289947,-0.7070730874026314
4.066666666666667e-08,1.10488517460711e+19,5.478366117736479e+19,0.3849830457017791,-0.7330404570124159
4.0999999999999997e-08,1.0739240863581764e+19,5.325007503465157e+19,0.3575816107906856,-0.7589731134820482
4.133333333333333e-08,1.0423299237557879e+19,5.1685040942747886e+19,0.3301429829409309,-0.7848685938608005
4.166666666666666e-08,1.0101030954373958e+19,5.008857328601984e+19,0.30266440530895034,-0.8107241413091505
4.2e-08,9.772440094871495e+18,4.846068629966374e+19,0.27514277928200215,-0.8365366572183923
4.233333333333333e-08,9.437530734362593e+18,4.680139406977659e+19,0.24757460639663142,-0.8623026431290938
4.2666666666666665e-08,9.096306942633599e+18,4.51107105334261e+19,0.21995591733315778,-0.8880181297255906
4.3e-08,8.748772783948718e+18,4.3388649478719906e+19,0.1922821843757575,-0.9136785892960595
4.333333333333333e-08,8.394932317053631e+18,4.163522454487418e+19,0.16454821249314155,-0.9392788268132032
4.366666666666667e-08,8.034789595179111e+18,3.985044922228159e+19,0.1367480024530091,-0.9648128430487031
4.4e-08,7.668348666044638e+18,3.80343368525787e+19,0.10887457688698643,-0.9902736606381515
4.433333333333333e-08,7.295613571862002e+18,3.6186900628712554e+19,0.08091975658274886,-1.01565310037318
4.466666666666666e-08,6.916588349338906e+18,3.430815359500678e+19,0.0528738688712207,-1.0409414895886506
4.5e-08,6.53127702968257e+18,3.239810864722695e+19,0.024725361769187937,-1.0661272763052747
4.533333333333333e-08,6.13968363860333e+18,3.045677853264534e+19,-0.0035397152110490104,-1.091196510039255
4.5666666666666665e-08,5.741812196318219e+18,2.848417585010501e+19,-0.03193842300145,-1.1161321298625149
4.6e-08,5.337666717554572e+18,2.648031305008329e+19,-0.06049193047042101,-1.140912966910499
4.633333333333333e-08,4.927251211553601e+18,2.444520243475458e+19,-0.08922694698296052,-1.1655123118220225
4.666666666666667e-08,4.5105696820739794e+18,2.2378856158052516e+19,-0.1181778396864207,-1.1898957974534978
4.7e-08,4.0876261273954253e+18,2.0281286225731506e+19,-0.14738987016447835,-1.2140181622249333
4.7333333333333334e-08,3.6584245403222697e+18,1.8152504495427598e+19,-0.1769243454767816,-1.2378180990802523
4.7666666666666663e-08,3.222968908187034e+18,1.5992522676718744e+19,-0.20686722690786108,-1.2612096467382952
4.8e-08,2.7812632128539945e+18,1.3801352331184366e+19,-0.23734441987414368,-1.284066899785664
4.8333333333333336e-08,2.333311430722747e+18,1.1579004872464345e+19,-0.2685511305717825,-1.3061946520285408
4.8666666666666666e-08,1.879117532731768e+18,9.325491566317314e+18,-0.3008143985471429,-1.3272658639213586
4.9e-08,1.4186854843619727e+18,7.040823530678339e+18,-0.33474732664518664,-1.3466674326158694
4.933333333333333e-08,9.520192456402669e+17,4.725011735715944e+18,-0.37172637557135796,-1.3630228973890608
4.966666666666667e-08,4.791227711430976e+17,2.3780670038885064e+18,-0.4161437589410995,-1.3719400445222991
5e-08,10000000000.0,10000000000.0,-0.8999999999999999,-0.8999999999999999
